profile_id,Wmax_m,Dmax_m,Wmax_Dmax,x_utm,y_utm,z_m,geometry
1,4065.08982941996,366.47673822959075,11.092354317106091,807549.4075688609,6285418.554917392,-150.03516362587803,POINT (807549.4075688609 6285418.554917392)
2,5109.190123474519,419.13627512457276,12.189806577719862,806385.5570325465,6284973.535957775,-132.69111745355224,POINT (806385.5570325465 6284973.535957775)
3,4964.39073382327,418.5626843407476,11.860566934298928,806161.4022576552,6284872.953003244,-140.51513548347117,POINT (806161.4022576552 6284872.953003244)
4,4952.990076606319,428.2217873171883,11.566413067482689,805923.3737067005,6284751.138275279,-138.71809305390545,POINT (805923.3737067005 6284751.138275279)
5,4952.545106663733,436.9543473222197,11.334239233490491,805721.6187543018,6284646.024177995,-137.54778890824906,POINT (805721.6187543018 6284646.024177995)
6,4933.898587604304,440.15874330022206,11.20936176482812,805497.4434848999,6284531.905527827,-138.62140806696544,POINT (805497.4434848999 6284531.905527827)
7,4941.395281715661,445.0183033119637,11.103802349117489,805251.9292907635,6284422.182712586,-141.4790111411613,POINT (805251.9292907635 6284422.182712586)
8,4624.875986302208,454.5193512356812,10.175311510343326,805036.7510646108,6284326.017353043,-136.1834075533813,POINT (805036.7510646108 6284326.017353043)
9,4537.38404753495,451.38564651255825,10.052123018512315,804801.2171700464,6284220.754836196,-146.0095561241605,POINT (804801.2171700464 6284220.754836196)
10,4916.330785518223,463.7103938670758,10.60215783502042,804570.2077927365,6284128.543162249,-144.06463054698665,POINT (804570.2077927365 6284128.543162249)
11,5481.885324415172,461.92551474279367,11.867465964653544,804345.3917203273,6284040.098361435,-149.35359902673758,POINT (804345.3917203273 6284040.098361435)
12,5929.749281182498,467.82158568909864,12.675236591419802,804093.3570836845,6283940.945516191,-148.4314050335576,POINT (804093.3570836845 6283940.945516191)
13,5995.26823028103,475.41620341606375,12.61056772403323,803730.962568284,6283715.247613765,-152.428706251905,POINT (803730.962568284 6283715.247613765)
14,5638.911142752887,472.2749226246494,11.939891094396584,803289.2545045469,6283411.801778614,-168.68278001206937,POINT (803289.2545045469 6283411.801778614)
15,6231.027839364375,499.5729692743389,12.47270813794296,802607.6360319258,6283061.723025965,-162.62435738581735,POINT (802607.6360319258 6283061.723025965)
16,5997.537748584358,507.90848477203537,11.808303913797058,802330.9882067583,6282978.885190371,-160.04750888030838,POINT (802330.9882067583 6282978.885190371)
17,8193.987589328537,581.0022370331162,14.103194561127813,799642.8241769182,6283619.629208326,-153.00923757625878,POINT (799642.8241769182 6283619.629208326)
18,8322.351396503653,599.0081189893418,13.893553580784992,799138.0961351754,6283926.286836627,-150.92785513175193,POINT (799138.0961351754 6283926.286836627)
19,8276.544236333726,622.461498452642,13.296475777069158,798412.0032372319,6284036.066749927,-148.6878545747018,POINT (798412.0032372319 6284036.066749927)
20,8581.349099553901,633.7298163605592,13.541021548955433,797914.4605760617,6284103.403027323,-148.34843070975327,POINT (797914.4605760617 6284103.403027323)
21,8671.031691869628,638.9184562528222,13.571421528068162,797640.3683536289,6284110.930462451,-150.64251786827154,POINT (797640.3683536289 6284110.930462451)
22,8670.232157400058,646.0885114502184,13.419573330500407,797406.9300570703,6284117.341412816,-147.72191335446905,POINT (797406.9300570703 6284117.341412816)
23,8989.356248207834,646.5978610792586,13.902545599522078,797165.1427519275,6284123.981653236,-148.08408472152274,POINT (797165.1427519275 6284123.981653236)
