profile_id,point_id,point_name,x_utm,y_utm,z_m
1,1,Talweg,807549.4075688609,6285418.554917392,-516.5119018554688
1,2,Edge_Left,807547.9688676072,6286321.64076391,-151.54930114746094
1,3,Edge_Right,807554.4449323523,6282256.556092978,-144.73367309570312
1,4,P4_Wmax,807549.4075688609,6285418.554917392,-150.03516362587803
2,1,Talweg,806385.5570325465,6284973.535957775,-551.827392578125
2,2,Edge_Left,805678.1681570803,6286736.852250847,-139.66265869140625
2,3,Edge_Right,807580.4538226804,6281995.003142718,-120.91503143310547
2,4,P4_Wmax,806385.5570325465,6284973.535957775,-132.69111745355224
3,1,Talweg,806161.4022576553,6284872.953003244,-559.0778198242188
3,2,Edge_Left,805278.3012656507,6286841.833903452,-146.14549255371094
3,3,Edge_Right,807309.9708728831,6282312.209861093,-133.19224548339844
3,4,P4_Wmax,806161.4022576552,6284872.953003244,-140.51513548347117
4,1,Talweg,805923.3737067006,6284751.138275279,-566.9398803710938
4,2,Edge_Left,804910.141784514,6286704.179516594,-140.82652282714844
4,3,Edge_Right,807191.0529750573,6282307.640555114,-136.08018493652344
4,4,P4_Wmax,805923.3737067005,6284751.138275279,-138.71809305390545
5,1,Talweg,805721.6187543017,6284646.024177995,-574.5021362304688
5,2,Edge_Left,804636.1436091053,6286728.25774979,-140.194091796875
5,3,Edge_Right,806925.5178696708,6282336.621548031,-134.61277770996094
5,4,P4_Wmax,805721.6187543018,6284646.024177995,-137.54778890824906
6,1,Talweg,805497.4434849,6284531.905527827,-578.7801513671875
6,2,Edge_Left,804522.3818694825,6286697.511988588,-135.40126037597656
6,3,Edge_Right,806548.0101988751,6282198.602660325,-142.09091186523438
6,4,P4_Wmax,805497.4434848999,6284531.905527827,-138.62140806696544
7,1,Talweg,805251.9292907632,6284422.182712586,-586.497314453125
7,2,Edge_Left,804301.5026356989,6286552.6334730955,-137.72740173339844
7,3,Edge_Right,806314.6876890621,6282039.932145612,-145.6740264892578
7,4,P4_Wmax,805251.9292907635,6284422.182712586,-141.4790111411613
8,1,Talweg,805036.7510646108,6284326.017353043,-590.7027587890625
8,2,Edge_Left,804109.2967843695,6286412.789483584,-136.2997283935547
8,3,Edge_Right,805987.6368231348,6282186.5243963655,-136.06414794921875
8,4,P4_Wmax,805036.7510646108,6284326.017353043,-136.1834075533813
9,1,Talweg,804801.2171700464,6284220.754836196,-597.3952026367188
9,2,Edge_Left,803966.5064785313,6286093.885376085,-151.00941467285156
9,3,Edge_Right,805813.3917950658,6281949.38677886,-139.9467010498047
9,4,P4_Wmax,804801.2171700464,6284220.754836196,-146.0095561241605
10,1,Talweg,804570.2077927362,6284128.543162249,-607.7750244140625
10,2,Edge_Left,803792.4886970057,6286084.483403009,-154.2765350341797
10,3,Edge_Right,805608.9873314126,6281516.043723662,-130.4248504638672
10,4,P4_Wmax,804570.2077927365,6284128.543162249,-144.06463054698665
11,1,Talweg,804345.3917203274,6284040.098361435,-611.2791137695312
11,2,Edge_Left,803487.5239519813,6286226.614990512,-163.2459259033203
11,3,Edge_Right,805489.721794836,6281123.45219592,-130.82229614257812
11,4,P4_Wmax,804345.3917203273,6284040.098361435,-149.35359902673758
12,1,Talweg,804093.3570836851,6283940.9455161905,-616.2529907226562
12,2,Edge_Left,803106.9549160459,6286461.11752831,-154.0299072265625
12,3,Edge_Right,805268.2227264147,6280939.265665977,-141.76324462890625
12,4,P4_Wmax,804093.3570836845,6283940.945516191,-148.4314050335576
